t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.53,2.0,150.0,0,48,356048,285044,285483,0,0,287496,48.2
1.08,2.0,100.0,109,183,356048,266878,266979,0,0,270719,78.7
1.64,11.0,83.5,200,408,356048,258492,258502,0,0,258864,78.8
2.21,11.0,82.0,286,573,360672,248350,248362,0,283,246868,79.2
2.77,13.0,80.5,363,880,361184,238853,238884,0,35,236868,82.3
3.29,13.0,75.0,363,1260,361280,233547,233547,0,0,230901,82.3
3.82,13.0,75.0,363,1620,361604,227794,227795,0,11,225850,82.3
4.33,13.0,75.0,363,2022,362052,220586,220586,0,15,218193,82.3
4.84,13.0,75.0,363,2231,364908,216966,216966,0,0,213316,82.3
5.40,13.0,72.4,363,2502,366100,211683,211714,0,0,209091,82.3
5.93,14.0,83.4,1045,2742,377076,212578,212585,0,32,203242,88.1
6.47,13.0,79.9,1102,3080,378316,207032,207039,0,9,197196,89.5
7.00,13.0,77.3,1211,3401,380500,202067,202075,0,0,191843,91.0
7.52,14.0,75.0,1344,3813,382372,196812,196831,0,8,187491,95.5
8.03,14.0,74.4,1371,4142,385004,193486,193505,0,7,183998,95.7
8.54,13.0,75.9,1476,4431,387852,189034,189038,0,14,179351,102.3
9.10,13.0,73.3,1503,4642,394804,187512,187520,0,0,178607,106.8
9.61,14.0,74.0,1553,4829,396356,189102,189114,0,3,176128,109.6
10.13,14.0,79.0,1658,5087,398717,188666,188728,0,0,175474,114.0
10.64,14.0,74.1,1658,5337,400641,185415,185424,0,0,172423,114.0
11.14,14.0,73.8,1321,5567,401667,181183,181184,0,8,168475,118.5
11.71,14.0,72.9,1630,5899,403969,174516,174542,0,35,162028,119.2
12.28,14.0,71.2,1557,6102,406361,171431,171454,0,0,158750,119.8
12.83,14.0,105.1,1710,6177,408383,172941,172999,0,0,161091,122.6
13.39,14.0,83.3,1942,6405,411482,171233,171261,0,64,158579,123.6
13.91,12.0,77.3,2018,6675,414628,166231,166244,0,47,153098,125.7
14.46,14.0,73.8,2079,6893,419586,166077,166103,0,0,151975,127.2
14.99,14.0,69.2,2217,6874,422304,167761,167777,0,0,153484,134.2
15.51,15.0,79.0,2364,7182,428361,168362,168385,0,0,153517,140.5
16.07,15.0,75.0,2364,7369,434464,169711,169740,0,0,153799,140.5
16.60,14.0,68.9,2364,7564,438648,170491,170492,0,0,153807,140.5
17.17,14.0,77.7,2333,7761,443000,174784,174787,0,0,154235,153.3
17.74,14.0,70.4,2212,8040,442226,175279,175286,0,0,154189,163.6
18.31,14.0,75.3,2126,8098,444528,178187,178241,0,0,154365,166.7
18.85,14.0,82.0,2152,7962,440516,180282,180305,0,51,155768,169.7
19.36,14.0,76.7,2117,7998,442048,180872,180900,0,197,155779,169.7
19.88,14.0,73.7,2252,8071,441508,181650,181776,0,0,155768,173.7
20.43,14.0,83.9,2375,8328,449278,187882,188318,0,0,160271,180.3
20.99,13.0,81.3,2349,8283,461660,190807,190836,0,0,156837,181.0
21.54,13.0,80.0,2287,8342,467371,194156,194268,0,0,157117,183.0
22.09,13.0,79.2,2264,8437,471621,195538,195580,0,3,157115,185.2
22.61,12.0,89.4,2176,8159,481994,204538,204578,0,0,161020,184.3
23.18,12.0,83.3,2108,8209,485567,208835,208842,0,0,161175,182.7
23.75,12.0,82.9,2006,8254,489943,210483,210497,0,501,161125,184.8
