t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.50,2.0,143.5,33,44,69312,4159,4161,0,0,4162,55.1
1.00,2.0,61.4,93,142,74384,4073,4089,0,0,3859,84.9
1.50,114.0,8.3,133,245,74528,3434,3437,0,0,3240,85.3
2.01,114.0,8.3,139,312,76440,3222,3225,0,0,3019,87.4
2.51,120.0,8.3,152,380,77296,3001,3001,0,0,2814,89.6
3.01,120.0,8.3,154,410,79040,2850,2866,0,0,2725,90.8
3.51,120.0,8.3,168,477,90340,2834,2874,0,2,2558,94.4
4.01,120.0,8.3,191,539,93076,2675,2675,0,0,2297,99.0
4.51,120.0,8.3,252,641,97756,2631,2631,0,0,2233,109.7
5.01,120.0,8.3,343,756,103172,2627,2628,0,0,2215,122.1
5.51,120.0,8.3,384,842,106988,2526,2539,0,0,2163,130.5
6.01,120.0,8.3,414,936,114164,2515,2518,0,0,2095,137.2
6.51,120.0,8.3,429,1009,125172,3015,3015,0,0,2162,143.8
7.01,120.0,8.3,420,1065,138956,3669,3670,0,0,2251,149.7
7.51,120.0,8.3,388,1098,148876,3773,3781,0,0,2275,152.8
8.01,120.0,8.3,375,1177,160132,4571,4571,0,0,2346,159.6
8.51,120.0,8.3,374,1251,164644,5660,5671,0,0,2430,166.7
9.01,120.0,8.3,372,1291,168444,6105,6116,0,0,2423,171.0
9.51,120.0,8.3,343,1326,167162,6745,6747,0,0,2406,174.3
10.01,120.0,8.3,294,1388,166336,6938,6938,0,0,2395,179.0
10.51,120.0,8.3,303,1408,164244,7037,7037,0,0,2350,180.4
11.01,120.0,8.3,294,1350,165958,7604,7613,0,0,2491,178.3
11.51,120.0,8.3,320,1369,170020,7207,7219,0,0,2462,177.8
12.01,120.0,8.3,337,1348,171661,6985,6986,0,0,2446,176.1
12.51,120.0,8.3,303,1375,169863,7154,7155,0,0,2455,178.2
13.01,120.0,8.3,385,1354,175205,7499,7511,0,0,2421,177.2
13.51,120.0,8.3,412,1418,182919,7885,7899,0,0,2447,183.0
14.01,120.0,8.3,402,1463,186092,8501,8502,0,0,2477,187.3
14.51,120.0,8.3,328,1453,188902,8746,8758,0,0,2427,186.5
15.01,120.0,8.3,290,1449,191485,9006,9021,0,0,2379,186.0
15.51,120.0,8.3,223,1462,189846,8676,8686,0,2,2278,186.8
16.01,120.0,8.3,175,1448,183973,8112,8116,0,0,2250,184.6
16.52,120.0,8.3,165,1468,174612,7599,7617,0,2,2225,185.5
17.03,120.0,8.3,160,1472,160442,7155,7157,0,5,2199,186.4
17.53,120.0,8.3,161,1271,142209,7121,7122,0,1,2356,176.2
18.04,120.0,8.3,161,1198,133261,6769,6776,0,12,2348,168.9
18.55,120.0,8.3,156,1096,125103,6382,6392,0,12,2342,162.4
19.06,120.0,8.3,153,1047,121946,6068,6071,0,0,2339,155.6
19.57,120.0,8.3,154,998,118531,5750,5765,0,11,2338,151.3
20.08,120.0,8.3,151,953,114707,5363,5370,0,3,2335,147.2
20.58,120.0,8.3,155,878,111437,5169,5170,0,4,2426,143.2
21.09,120.0,8.3,155,853,109913,4927,4928,0,7,2426,140.1
21.60,120.0,8.3,153,839,109003,4650,4653,0,7,2426,138.9
22.11,120.0,8.3,150,792,106467,4351,4358,0,5,2426,137.8
22.62,120.0,8.3,148,792,105787,4074,4082,0,12,2427,134.3
23.13,120.0,8.3,147,764,105215,3833,3833,0,8,2428,131.3
23.63,120.0,8.3,143,765,104427,3555,3556,0,0,2428,131.3
