t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.51,21.0,133.3,32,42,69312,4153,4161,0,0,4161,55.1
1.01,21.0,9.1,113,168,73968,4098,4119,0,0,3897,83.6
1.52,119.0,9.1,149,276,74736,3490,3490,0,0,3282,86.1
2.02,119.0,9.1,160,352,77872,3224,3225,0,0,3041,88.6
2.53,5.0,143.8,160,467,78112,2304,2305,0,20,2956,96.4
3.03,5.0,10.0,246,678,96840,2851,2873,0,0,2256,99.8
3.54,106.0,140.3,280,808,111000,2202,2214,0,0,2388,112.9
4.04,9.0,13.0,302,1138,142068,4204,4220,0,0,2085,136.6
4.54,9.0,6.9,273,1222,144140,4150,4166,0,0,2056,149.0
5.04,141.0,6.9,269,1218,143520,3851,3867,0,0,2014,149.4
5.55,141.0,7.1,270,1168,148470,3640,3656,0,0,1977,146.0
6.05,145.0,6.9,263,1153,154788,3848,3848,0,0,1994,143.0
6.55,145.0,6.9,260,1183,146462,3491,3492,0,0,1932,141.8
7.06,145.0,6.9,260,1130,137096,3209,3212,0,1,1924,139.6
7.56,145.0,6.9,256,1112,130996,2896,2896,0,0,1907,138.2
8.07,145.0,7.1,263,1112,131044,3070,3089,0,0,1952,141.6
8.57,145.0,6.9,270,1085,130974,2421,2421,0,0,1864,137.0
9.07,144.0,6.9,273,1086,128736,2192,2200,0,0,1852,135.2
9.58,144.0,6.9,284,1117,124722,2093,2098,0,0,1838,137.8
10.08,145.0,6.9,308,1114,127870,2113,2118,0,0,1831,138.0
10.58,145.0,6.9,330,1138,127240,2083,2083,0,0,1813,140.5
11.09,145.0,6.9,295,1123,129972,2183,2183,0,0,1799,139.6
11.59,145.0,6.9,310,1226,133468,1779,1782,0,0,1408,141.8
12.09,145.0,6.9,351,1313,135898,1763,1763,0,0,1318,147.8
12.60,145.0,6.9,351,1349,136940,1762,1762,0,0,1322,147.8
13.10,145.0,6.9,365,1345,139217,1817,1835,0,0,1381,154.0
13.60,145.0,6.9,365,1392,146442,1964,1964,0,0,1395,154.0
14.11,145.0,6.9,365,1418,157100,2042,2062,0,0,1419,154.0
14.61,145.0,6.9,365,1439,174929,2604,2604,0,0,1487,154.0
15.11,145.0,6.9,454,1439,186130,2850,2865,0,0,1511,163.4
15.62,145.0,6.9,454,1469,192349,2884,2903,0,0,1490,163.4
16.12,145.0,6.9,458,1487,193304,3365,3367,0,0,1533,164.8
16.62,145.0,6.9,442,1508,192590,3834,3835,0,0,1587,172.5
17.13,145.0,6.9,435,1558,189275,4251,4251,0,0,1619,170.8
17.63,145.0,6.9,409,1529,186769,4716,4716,0,0,1847,175.9
18.13,145.0,6.9,379,1563,183292,5087,5098,0,0,1850,177.0
18.64,145.0,6.9,376,1582,183864,5285,5285,0,0,1838,180.4
19.14,145.0,6.9,378,1585,184863,5427,5427,0,0,1835,181.2
19.65,145.0,6.9,384,1601,186193,5559,5569,0,0,1858,183.5
20.15,145.0,6.9,391,1626,191273,6011,6027,0,0,1886,185.8
20.65,145.0,6.9,358,1590,193820,6532,6547,0,0,2105,185.2
21.16,145.0,6.9,333,1594,192415,6168,6168,0,0,2057,185.4
21.66,144.0,6.9,322,1558,186600,5612,5612,0,0,2036,182.7
22.16,144.0,7.3,303,1532,181852,4961,4971,0,5,1982,179.9
22.67,145.0,6.9,281,1527,173727,4430,4431,0,0,1963,178.9
23.18,145.0,6.9,268,1545,166841,4353,4354,0,0,1960,181.1
23.68,145.0,6.9,248,1485,162118,3901,3901,0,0,1950,177.8
