t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.51,37.0,145.5,0,38,32848,10179,10264,0,0,5124,55.5
1.01,37.0,9.3,10,118,43544,8327,8445,0,0,4761,84.0
1.51,119.0,8.3,10,383,47568,6005,6137,0,0,4464,90.1
2.02,50.0,141.4,39,435,52452,1049,1209,0,162,4002,90.3
2.52,50.0,17.0,228,939,70084,8784,8821,0,0,1875,98.0
3.03,80.0,6.9,229,993,70576,7912,7926,0,0,1770,99.4
3.53,80.0,6.9,318,1248,67948,7014,7014,0,0,1788,101.4
4.04,145.0,6.9,328,1329,67668,6337,6343,0,0,1757,102.5
4.54,145.0,6.9,338,1458,67656,5704,5765,0,0,1695,104.3
5.05,145.0,6.9,355,1628,68000,4391,4399,0,0,1623,108.7
5.55,145.0,6.9,380,1765,70020,3970,3985,0,0,1594,111.5
6.05,145.0,6.9,400,1990,71708,3979,3983,0,0,1558,115.1
6.56,145.0,6.9,609,2378,74284,4003,4010,0,0,1529,123.3
7.06,145.0,6.9,790,2692,81460,5684,5740,0,0,1773,133.2
7.56,145.0,7.0,727,2897,87912,5921,5953,0,0,1784,139.2
8.07,145.0,6.9,601,3130,100047,13319,13321,0,0,2678,148.5
8.57,145.0,8.8,584,3236,106268,20489,20494,0,0,3058,151.0
9.08,141.0,8.3,521,3288,105356,22334,22336,0,0,2877,151.7
9.58,141.0,6.9,497,3269,101337,25315,25323,0,0,2879,151.3
10.08,144.0,6.9,470,3286,98239,24298,24339,0,0,2422,150.1
10.59,145.0,6.9,430,3318,91307,23220,23228,0,0,2149,151.2
11.09,145.0,6.9,395,3120,85643,22369,22408,0,40,2064,147.6
11.59,145.0,6.9,480,3012,84791,18507,18550,0,78,2037,145.5
12.10,145.0,6.9,520,3054,85711,17076,17081,0,0,2070,145.6
12.60,145.0,6.9,499,3055,88141,18499,18512,0,0,2542,147.1
13.10,145.0,6.9,711,3249,92864,18652,18676,0,0,2261,149.8
13.61,145.0,6.9,736,3340,95216,18033,18066,0,6,2153,151.5
14.11,145.0,6.9,659,3434,95406,16726,16728,0,0,2083,153.7
14.62,145.0,6.9,530,3343,92088,14153,14192,0,51,2006,151.9
15.12,145.0,6.9,411,3219,86528,10957,10973,0,40,1816,150.1
15.62,145.0,6.9,357,3030,84008,8797,8801,0,26,1802,146.8
16.13,145.0,6.9,354,3005,81200,7493,7498,0,13,1805,146.2
16.63,145.0,6.9,301,2922,78798,6361,6365,0,19,1816,145.2
17.13,145.0,6.9,289,2924,77236,5435,5461,0,4,1821,144.6
17.64,145.0,6.9,259,3016,76119,4988,5014,0,0,1812,145.0
18.14,145.0,6.9,248,2970,74908,4547,4566,0,1,1790,144.3
18.64,145.0,6.9,321,2962,75218,3968,3975,0,0,1660,144.9
19.15,145.0,6.9,329,2976,75826,3355,3377,0,0,1605,144.3
19.65,145.0,6.9,356,2988,78620,2954,3025,0,0,1541,144.9
20.15,145.0,6.9,383,2972,82492,2947,2955,0,0,1504,144.8
20.66,145.0,6.9,395,2733,87574,2824,2832,0,0,1373,145.5
21.16,145.0,6.9,430,2970,91410,2329,2392,0,0,1208,147.4
21.67,145.0,6.9,550,3046,97376,2444,2501,0,0,1200,151.2
22.17,145.0,6.9,593,3014,112408,7181,7201,0,0,2169,153.0
22.68,144.0,6.9,599,3052,116408,4911,4919,0,15,1711,152.6
23.18,144.0,6.9,604,3109,109444,3989,3992,0,0,1638,153.2
23.68,145.0,6.9,642,3162,115108,4352,4384,0,0,1798,154.0
