t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.53,1.0,146.4,0,48,356048,285244,285474,0,0,287496,51.2
1.08,3.0,100.0,109,183,356048,266978,267072,0,0,270833,78.7
1.59,11.0,87.8,153,349,356048,258455,258472,0,0,258853,78.8
2.10,11.0,93.9,175,458,360672,250016,250017,0,0,246242,78.8
2.67,12.0,83.1,247,756,360864,240325,240326,0,49,238336,78.9
3.22,12.0,83.3,247,1166,361088,232380,232380,0,0,229957,78.9
3.76,12.0,78.0,247,1447,362924,226855,226925,0,0,226893,78.9
4.30,12.0,79.4,247,1801,365116,220956,220972,0,1,217947,78.9
4.84,13.0,80.5,247,2177,367172,217359,217402,0,7,214277,78.9
5.35,13.0,74.3,247,2556,369260,212079,212132,0,0,209100,78.9
5.89,14.0,83.8,954,2844,382668,214429,214465,0,12,204432,90.0
6.44,14.0,81.1,1045,3135,385232,209724,209728,0,32,200202,91.8
7.01,12.0,88.0,1131,3488,387380,206538,206605,0,15,197368,97.2
7.57,13.0,84.8,1259,3854,391256,201369,201407,0,19,191643,99.2
8.13,13.0,80.6,1290,3848,394196,201339,201343,0,0,191126,99.0
8.69,12.0,80.9,1379,4207,397108,197361,197368,0,3,187497,100.3
9.24,12.0,80.0,1515,4465,404000,197291,197464,0,26,184966,104.6
9.79,13.0,80.8,1614,4752,408969,194863,194889,0,0,184119,107.0
10.34,13.0,79.2,1614,5149,413993,191737,191737,0,10,178447,107.0
10.88,13.0,77.8,1950,5438,424249,192846,192859,0,0,177410,114.9
11.38,13.0,91.8,1585,5789,437075,196145,196234,0,0,177984,127.2
11.96,12.0,83.3,1398,5780,451937,199939,200019,0,0,178171,127.7
12.46,12.0,84.6,1296,6028,451329,205853,205962,0,0,178291,132.8
12.96,12.0,88.7,1238,5870,447643,209495,209566,0,0,180278,133.8
13.52,12.0,83.3,1308,5477,434488,206862,206923,0,283,180703,131.1
14.06,12.0,78.0,1332,5127,421336,203709,203755,0,350,180583,123.8
14.59,13.0,76.2,1344,5042,417268,200089,200089,0,473,180550,116.5
15.12,13.0,76.2,1342,4873,412526,199373,199394,0,402,181582,115.0
15.65,13.0,76.7,1384,5017,411848,191931,191942,0,80,178404,114.5
16.20,13.0,81.6,1555,5238,411664,187577,187578,0,0,173596,114.6
16.76,13.0,81.0,1646,5453,410696,181309,181351,0,47,168279,114.6
17.28,13.0,78.8,1713,5606,411656,178776,178784,0,0,164777,114.6
17.85,14.0,72.4,1730,5757,412312,176937,176945,0,2,163618,115.6
18.41,14.0,70.8,1824,6011,413812,174042,174050,0,43,161215,117.8
18.92,14.0,75.0,1926,6107,416374,175776,175862,0,0,161673,120.7
19.44,14.0,78.6,1978,6337,419622,176872,176894,0,0,161725,127.1
19.99,13.0,83.0,2170,6702,429200,177687,177830,0,0,162074,138.3
20.55,13.0,80.1,2309,6883,445088,185967,186064,0,0,167118,143.5
21.11,13.0,80.0,2259,7018,456154,190498,190560,0,0,163538,146.6
21.67,13.0,80.0,2254,7142,458144,191332,191356,0,0,163260,150.3
22.24,13.0,89.4,2319,6960,467876,197101,197134,0,36,169595,152.8
22.74,12.0,98.6,2302,7071,470141,202162,202179,0,0,165964,152.6
23.29,12.0,80.0,2262,7122,466848,203718,203721,0,23,165760,153.9
23.86,12.0,87.1,2205,7175,472139,204275,204357,0,129,166085,157.1
