Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Sal23,Hundred million years of landscape dynamics from catchment to global scale,T. Salles et al.,2023,2023-03-03,Science,379,918 - 923,"Our capability to reconstruct past landscapes and the processes that shape them underpins our understanding of paleo-Earth. We take advantage of a global-scale landscape evolution model assimilating paleoelevation and paleoclimate reconstructions over the past 100 million years. This model provides continuous quantifications of metrics critical to the understanding of the Earth system, from global physiography to sediment flux and stratigraphic architectures. We reappraise the role played by surface processes in controlling sediment delivery to the oceans and find stable sedimentation rates throughout the Cenozoic with distinct phases of sediment transfer from terrestrial to marine basins. Our simulation provides a tool for identifying inconsistencies in previous interpretations of the geological record as preserved in sedimentary strata, and in available paleoelevation and paleoclimatic reconstructions. Description Shaping Earth’s surface How has sediment transfer and accumulation from lands to oceans affected Earth’s geomorphology? Salles et al. present results from a high-resolution model of surface physiography, validated by independent observations from the geological record, which simulates landscape evolution caused by erosion and deposition over the past 100 million years (see the Perspective by Ehlers). Their results should help us better understand the apparent contradiction between the observed Late Cenozoic pulse in marine sedimentation and the constancy of the global weathering flux. —HJS A 100-million-year simulation of Earth’s surface evolution clarifies the role of sediment transfer and accumulation on a global scale.",56,17,10.1126/science.add2541,https://doi.org/10.1126/science.add2541,2.9000
Sal19,eSCAPE: Regional to Global Scale Landscape Evolution Model v2.0,T. Salles,2019,2019-06-07,Geoscientific Model Development,,,"Abstract. The eSCAPE model is a Python-based landscape evolution model that simulates over geological time (1) the dynamics of the landscape, (2) the transport of sediment from source to sink, and (3) continental and marine sedimentary basin formation under different climatic and tectonic conditions. The eSCAPE model is open-source, cross-platform, distributed under the GPLv3 licence, and available on GitHub (http://escape.readthedocs.io, last access: 23 September 2019). Simulated processes rely on a simplified mathematical representation of landscape processes – the stream power and creep laws – to compute Earth's surface evolution by rivers and hillslope transport. The main difference with previous models is in the underlying numerical formulation of the mathematical equations. The approach is based on a series of implicit iterative algorithms defined in matrix form to calculate both drainage area from multiple flow directions and erosion–deposition processes. The eSCAPE model relies on the PETSc parallel library to solve these matrix systems. Along with the description of the algorithms, examples are provided to illustrate the model current capabilities and limitations. It is the first landscape evolution model able to simulate processes at the global scale and is primarily designed to address problems on large unstructured grids (several million nodes).
",13,1.8,10.5194/GMD-12-4165-2019,https://doi.org/10.5194/GMD-12-4165-2019,2.4500
Bra23,Implicit Algorithm for Threshold Stream Power Incision Model,J. Braun and E. Deal,2023,2023-09-28,Journal of Geophysical Research: Earth Surface,128,,"We present an O(n) complexity and implicit algorithm for the two‐dimensional solution of the stream power incision model (SPIM) enriched by a discharge threshold term and taking into account variability in rainfall and thus discharge. The algorithm is based on the formulation developed by Deal et al. (2018, https://doi.org/10.1002/2017jf004393) and the generalization of the FastScape algorithm (Braun & Willett, 2013, https://doi.org/10.1016/j.geomorph.2012.10.008) where the slope is approximated by first‐order accurate finite difference. We consider a variety of discharge thresholds that vary in their dependence on channel slope. The algorithm requires finding the root of a non‐linear equation using a Newton‐Raphson iterative scheme. We show that the convergence of this scheme is unconditional, except for a narrow range of model parameters where the threshold increases with the slope and for low discharge variability. We also show that the rate of convergence of the iterative scheme is directly proportional to the slope exponent n in the SPIM. We compare the algorithm to analytical solutions and to numerical solutions obtained using a higher‐order finite difference scheme. We show that the accuracy of the FastScape algorithm and its generalization presented here is comparable to other schemes for values of n > 1. We also confirm that the FastScape algorithm and its generalization to variable discharge + threshold conditions does not need to satisfy the CFL condition and provides an accurate solution for both small and very long time steps. We finally use the new algorithm to quantify how the existence of an erosional threshold strongly affects the length of the post‐orogenic decay of mountain belts.",2,0.7,10.1029/2023JF007140,https://doi.org/10.1029/2023JF007140,2.2200
Bov20,The FastScape software stack: reusable tools for landscape evolution modelling,"B. Bovy, J. Braun, G. Cordonnier, R. Lange, and Xiaoping Yuan",2020,2020-03-09,,,,"'
 <div>
<div>
<div>
<div>
<p>The name “FastScape” has been used to describe a landscape evolution model as well as a set of efficient algorithms to simulate various processes of erosion, transport and deposition (e.g., fluvial, hillslope and marine). We also use this name for a set of software components (https://github.com/fastscape-lem) aimed at making those models and algorithms readily accessible to a wide range of users, from experts in landscape evolution modelling to scientists, researchers and teachers in the broader Earth science community. Those software components are organised as a stack where each level has a distinct scope. At the bottom of this stack, “fastscapelib-fortran” is the original, full-featured implementation of the FastScape model, which provides a Fortran API as well as Python bindings. Its successor “fastscapelib” is a library written in modem C++ that directly exposes the FastScape algorithms (e.g., flow-routing, depression-resolving, channel erosion, hillslope diffusion) through basic APIs in C++, Python and potentially other languages such as R or Julia in the future. Built on top of those core libraries, “fastscape” is a high-level yet flexible tool that helps anyone who wants to quickly build, extend or simply run FastScape model variants in a user-friendly, interactive environment. Through its xarray-centric interface, it is deeply integrated with the rest of the Python scientific ecosystem, therefore offering great capabilities at user’s fingertips for pre/post-processing, visualisation and simulation management. One of our primary concern is following good practices (API design, testing, documentation, distribution...) while developing each of these tools. We show through a gallery of examples how the FastScape software stack has been used in research and outreach projects. We plan to provide better integration with other tools for topographic analysis/modelling (e.g., Landlab, LSDTopotools) in the future and we also greatly encourage contributions from the broader community.</p>
</div>
</div>
</div>
</div>
",2,0.3,10.5194/egusphere-egu2020-9474,https://doi.org/10.5194/egusphere-egu2020-9474,2.0500
Yua19,A New Efficient Method to Solve the Stream Power Law Model Taking Into Account Sediment Deposition,"Xiaoping Yuan, Jean Braun, L. Guerit, D. Rouby, and G. Cordonnier",2019,2019-06-01,Journal of Geophysical Research: Earth Surface,124,1346 - 1365,"The stream power law model has been widely used to represent erosion by rivers but does not take into account the role played by sediment in modulating erosion and deposition rates. Davy and Lague (2009, https://doi.org/10.1029/2008JF001146) provide an approach to address this issue, but it is computationally demanding because the local balance between erosion and deposition depends on sediment flux resulting from net upstream erosion. Here, we propose an efficient (i.e., O(N) and implicit) method to solve their equation. This means that, unlike other methods used to study the complete dynamics of fluvial systems (e.g., including the transition from detachment‐limited to transport‐limited behavior), our method is unconditionally stable even when large time steps are used. We demonstrate its applicability by performing a range of simulations based on a simple setup composed of an uplifting region adjacent to a stable foreland basin. As uplift and erosion progress, the mean elevations of the uplifting relief and the foreland increase, together with the average slope in the foreland. Sediments aggrade in the foreland and prograde to reach the base level where sediments are allowed to leave the system. We show how the topography of the uplifting relief and the stratigraphy of the foreland basin are controlled by the efficiency of river erosion and the efficiency of sediment transport by rivers. We observe the formation of a steady‐state geometry in the uplifting region, and a dynamic steady state (i.e., autocyclic aggradation and incision) in the foreland, with aggradation and incision thicknesses up to tens of meters.",90,13,10.1029/2018JF004867,https://doi.org/10.1029/2018JF004867,1.9800
Gai24,CHONK 1.0: landscape evolution framework: cellular automata meets graph theory,"B. Gailleton, L. Malatesta, G. Cordonnier, and J. Braun",2024,2024-01-05,Geoscientific Model Development,,,"Abstract. Landscape evolution models (LEMs) are prime tools for simulating the evolution of source-to-sink systems through ranges of spatial and temporal scales. A plethora of various empirical laws have been successfully applied to describe the different parts of these systems: fluvial erosion, sediment transport and deposition, hillslope diffusion, or hydrology. Numerical frameworks exist to facilitate the combination of different subsets of laws, mostly by superposing grids of fluxes calculated independently. However, the exercise becomes increasingly challenging when the different laws are inter-connected: for example when a lake breaks the upstream–downstream continuum in the amount of sediment and water it receives and transmits; or when erosional efficiency depends on the lithological composition of the sediment flux. In this contribution, we present a method mixing the advantages of cellular automata and graph theory to address such cases. We demonstrate how the former ensure interoperability of the different fluxes (e.g. water, fluvial sediments, hillslope sediments) independently of the process law implemented in the model, while the latter offers a wide range of tools to process numerical landscapes, including landscapes with closed basins. We provide three scenarios largely benefiting from our method: (i) one where lake systems are primary controls on landscape evolution, (ii) one where sediment provenance is closely monitored through the stratigraphy and (iii) one where heterogeneous provenance influences fluvial incision dynamically. We finally outline the way forward to make this method more generic and flexible.
",8,3.2,10.5194/gmd-17-71-2024,https://doi.org/10.5194/gmd-17-71-2024,1.8600
Bar18b,Accelerating a fluvial incision and landscape evolution model with parallelism,Richard Barnes,2018,2018-03-08,ArXiv,abs/1803.02977,,"Abstract Solving inverse problems, performing sensitivity analyses, and achieving statistical rigour in landscape evolution models require running many model realizations. Parallel computation is necessary to achieve this in a reasonable time. However, no previous landscape evolution algorithm is able to leverage modern parallelism. Here, I describe an algorithm that can utilize the parallel potential of GPUs and many-core processors, in addition to working well in serial. The new algorithm runs 43× faster (70 s vs. 3000 s on a 10,000×10,000 input) than the previous state-of-the-art and exhibits sublinear scaling with input size. I also identify key techniques for multiple flow direction routing and quickly eliminating landscape depressions and local minima. Complete, well-commented, easily adaptable source code for all versions of the algorithm is available on Github and Zenodo.",17,2.0,10.1016/j.geomorph.2019.01.002,https://doi.org/10.1016/j.geomorph.2019.01.002,1.7800
Yua19b,Linking continental erosion to marine sediment transport and deposition: A new implicit and O(N) method for inverse analysis,Xiaoping Yuan et al.,2019,2019-10-15,Earth and Planetary Science Letters,,,"Abstract The marine sedimentary record contains unique information about the history of erosion, uplift and climate of the adjacent continent. Inverting this record has been the purpose of many numerical studies. However, limited attention has been given to linking continental erosion to marine sediment transport and deposition in large-scale surface process evolution models. Here we present a new numerical method for marine sediment transport and deposition that is directly coupled to a landscape evolution algorithm solving for the continental fluvial and hillslope erosion equations using implicit and O ( N ) algorithms. The new method takes into account the sorting of grain sizes (e.g., silt and sand) in the marine domain using a non-linear multiple grain-size diffusion equation and assumes that the sediment flux exported from the continental domain is proportional to the bathymetric slope. Specific transport coefficients and compaction factors are assumed for the two different grain sizes to simulate the stratigraphic architecture. The resulting set of equations is solved using an efficient ( O ( N ) and implicit) algorithm. It can thus be used to invert stratigraphic geometries using a Bayesian approach that requires a large number of simulations. This new method is used to invert the sedimentary geometry of a natural example, the Ogooue Delta (Gabon), over the last ∼5 Myr. The objective is to unravel the set of erosional histories of the adjacent continental domain compatible with the observed geometry of the offshore delta. For this, we use a Bayesian inversion scheme in which the misfit function is constructed by comparing four geometrical parameters between the natural and the simulated delta: the volume of sediments stored in the delta, the surface slope, the initial and the final shelf lengths. We find that the best-fit values of the transport coefficients for silt in the marine domain are in the range of 300 − 500 m2/yr, in agreement with previous studies on offshore diffusion. We also show that, in order to fit the sedimentary geometry, erosion rate on the continental domain must have increased by a factor of 6 to 8 since 5.3 Ma.",40,5.9,10.1016/J.EPSL.2019.115728,https://doi.org/10.1016/J.EPSL.2019.115728,1.6600
Bar21,Computing water flow through complex landscapes – Part 3: Fill–Spill–Merge: flow routing in depression hierarchies,"Richard Barnes, K. Callaghan, and A. Wickert",2021,2021-03-02,,9,105-121,"Abstract. Depressions – inwardly-draining regions – are common to many landscapes. When there is sufficient moisture, depressions take the form of lakes and wetlands; otherwise, they may be dry. Hydrological flow models used in geomorphology, hydrology, planetary science, soil and water conservation, and other fields often eliminate depressions through filling or breaching; however, this can produce unrealistic results. Models that retain depressions, on the other hand, are often undesirably expensive to run. In previous work we began to address this by developing a depression hierarchy data structure to capture the full topographic complexity of depressions in a region. Here, we extend this work by presenting a Fill-Spill-Merge algorithm that utilizes our depression hierarchy to rapidly process and distribute runoff. Runoff fills depressions, which then overflow and spill into their neighbors. If both a depression and its neighbor fill, they merge. We provide a detailed explanation of the algorithm as well as results from two sample study areas. In these case studies, the algorithm runs 90–2600× faster (with a 2000–63 000× reduction in compute time) than the commonly-used Jacobi iteration and produces a more accurate output. Complete, well-commented, open-source code is available on Github and Zenodo.",13,2.4,10.5194/ESURF-9-105-2021,https://doi.org/10.5194/ESURF-9-105-2021,1.5800
Cor18b,"A versatile, linear complexity algorithm for flow routing in topographies with depressions","G. Cordonnier, B. Bovy, and J. Braun",2018,2018-12-10,Earth Surface Dynamics,,,"Abstract. We present a new algorithm for solving the common problem of flow trapped in closed depressions within digital elevation models, as encountered in many applications relying on flow routing. Unlike other approaches (e.g., the Priority-Flood depression filling algorithm), this solution is based on the explicit computation of the flow paths both within and across the depressions through the construction of a graph connecting together all adjacent drainage basins. Although this represents many operations, a linear time complexity can be reached for the whole computation, making it very efficient. Compared to the most optimized solutions proposed so far, we show that this algorithm of flow path enforcement yields the best performance when used in landscape evolution models. In addition to its efficiency, our proposed method also has the advantage of letting the user choose among different strategies of flow path enforcement within the depressions (i.e., filling vs. carving). Furthermore, the computed graph of basins is a generic structure that has the potential to be reused for solving other problems as well, such as the simulation of erosion. This sequential algorithm may be helpful for those who need to, e.g., process digital elevation models of moderate size on single computers or run batches of simulations as part of an inference study.
",36,4.7,10.5194/ESURF-7-549-2019,https://doi.org/10.5194/ESURF-7-549-2019,1.5200
